"Artist","Single","Released","Sales (in millions)","Source"
"Rihanna featuring Mikky Ekko","""Stay""","2013","7.97",""
"T.I. featuring Rihanna","""Live Your Life""","2008","7.84",""
"Rihanna","""Disturbia""","2008","7.81",""
"Leona Lewis","""Bleeding Love""","2008","7.7",""
"Greeeen","""Kiseki""","2008","7.6",""
"Usher featuring Lil Jon and Ludacris","""Yeah!""","2004","7.6",""
"Red Hot Chili Peppers","""Dani California""","2006","7.41",""
"Rihanna","""Rude Boy""","2010","7.3",""
"Adele","""Skyfall""","2012","7.28",""
"Lady Gaga","""Paparazzi""","2009","7.2",""
"Nicki Minaj","""Starships""","2012","7.2",""
"Michel Telo","""Ai Se Eu Te Pego""","2011","7.2",""
"Britney Spears","""Womanizer""","2008","7.15",""
"Big Bang","""Fantastic Baby""","2012","7.11",""
"Rihanna","""Don't Stop The Music""","2007","7.11",""
"The Black Eyed Peas","""Meet Me Halfway""","2009","7.1",""
"Taylor Swift","""You Belong with Me""","2009","7.1",""
"Busker Busker","""Cherry Blossom Ending""","2012","7.08",""
"Exile","""Lovers Again""","2007","7",""
"Hilcrhyme","""Shunkashuto""","2009","7",""
