"Year","Single","Artist","Nationality","Sales (in millions)","Source"
"2007","""Girlfriend""","Avril Lavigne","Canada","7.3",""
"2008","""Lollipop""","Lil Wayne featuring Static Major","United States","9.1",""
"2009","""Poker Face""","Lady Gaga","United States","9.8",""
"2010","""TiK ToK""","Kesha","United States","12.8",""
"2011","""Just the Way You Are""","Bruno Mars","United States","12.5",""
"2012","""Call Me Maybe""","Carly Rae Jepsen","Canada","12.5",""
"2013","""Blurred Lines""","Robin Thicke featuring T.I. & Pharrell","United States","14.8",""
"2014","""Happy""","Pharrell Williams","United States","13.9",""
"2015","""See You Again""","Wiz Khalifa featuring Charlie Puth","United States","20.9",""
"2016","""One Dance""","Drake featuring Wizkid & Kyla","Canada","12.5",""
"2017","""Shape of You""","Ed Sheeran","United Kingdom","",""
