"Artist","Single","Released","Sales
(in millions)","Source"
"Katy Perry","""I Kissed a Girl""","2008","11.81",""
"Katy Perry","""Hot n Cold""","2008","11.79",""
"Katy Perry","""Roar""","2013","11.75",""
"Justin Bieber","""Love Yourself""","2015","11.7",""
"The Chainsmokers feat. Halsey","""Closer""","2016","11.7",""
"Taylor Swift","""Love Story""","2008","11.7",""
"Avril Lavigne","""Girlfriend""","2007","11.63",""
"Rihanna featuring Jay-Z","""Umbrella""","2007","11.4",""
"Justin Timberlake","""SexyBack""","2006","11.31",""
"Beyonce","""Single Ladies (Put a Ring on It)""","2008","11.3",""
"Avicii featuring Aloe Blacc","""Wake Me Up""","2013","11.1",""
"Sia feat. Sean Paul","""Cheap Thrills""","2016","11.1",""
"Katy Perry featuring Snoop Dogg","""California Gurls""","2010","11.06",""
"Meghan Trainor","""All About That Bass""","2014","11",""
