Song,Artist
Stay,Rihanna featuring Mikky Ekko
Live Your Life,T.I. featuring Rihanna
Disturbia,Rihanna
Bleeding Love,Leona Lewis
Kiseki,Greeeen
Yeah!,Usher featuring Lil Jon and Ludacris
Rude Boy,Rihanna
Skyfall,Adele
Paparazzi,Lady Gaga
Starships,Nicki Minaj
Ai Se Eu Te Pego,Michel Telo
Womanizer,Britney Spears
Fantastic Baby,Big Bang
Don't Stop The Music,Rihanna
Meet Me Halfway,The Black Eyed Peas
You Belong with Me,Taylor Swift
Cherry Blossom Ending,Busker Busker
Lovers Again,Exile
Shunkashuto,Hilcrhyme
When I Was Your Man,Bruno Mars
Soba ni Iru ne,Thelma Aoyama
Shape of You,Ed Sheeran
Radioactive,Imagine Dragons
Rude,Magic!
We Are Never Ever Getting Back Together,Taylor Swift
Teenage Dream,Katy Perry
On the Floor,Jennifer Lopez featuring Pitbull
Cheerleader,OMI
The Monster,Eminem featuring Rihanna
Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack, and Nayer"
I Knew You Were Trouble,Taylor Swift
Want to Want Me,Jason Derulo
Scream & Shout,will.i.am featuring Britney Spears
Wrecking Ball,Miley Cyrus
We Can't Stop,Miley Cyrus
Bailando,"Enrique Iglesias featuring Sean Paul, Descemer Bueno and Gente de Zona"
Flavor of Life,Utada Hikaru
Let It Go,Idina Menzel
Sorry,Justin Bieber
Halo,Beyonce
Work,Rihanna featuring Drake
7 Years,Lukas Graham
Don't Let Me Down,The Chainsmokers featuring Daya
Born This Way,Lady Gaga
Set Fire to the Rain,Adele
Royals,Lorde
I Took a Pill in Ibiza,Mike Posner
Waka Waka (This Time for Africa),Shakira featuring Freshlyground
Hips Don't Lie,Shakira featuring Wyclef Jean
Mr. Saxobeat,Alexandra Stan
Just Give Me a Reason,Pink featuring Nate Ruess
Stressed Out,Twenty One Pilots
Diamonds,Rihanna
Telephone,Lady Gaga featuring Beyonce
Take a Bow,Rihanna
We Are Young,fun. featuring Janelle Monae
Timber,Pitbull featuring Kesha
Irreplaceable,Beyonce
Shake It Off,Taylor Swift
Not Afraid,Eminem
The Time (Dirty Bit),The Black Eyed Peas
Get Lucky,Daft Punk featuring Pharrell Williams
Blank Space,Taylor Swift
Only Girl (In The World),Rihanna
Fancy,Iggy Azalea featuring Charli XCX
Lollipop,Lil Wayne featuring Static Major
E.T.,Katy Perry featuring Kanye West
Problem,Ariana Grande featuring Iggy Azalea
Hung Up,Madonna
Buy U a Drank (Shawty Snappin'),T-Pain
Run This Town,Jay-Z featuring Kanye West and Rihanna
Imma Be,The Black Eyed Peas
My Love,Justin Timberlake
Don't Matter,Akon
Kiss Me thru the Phone,Soulja Boy Tell'em featuring Sammie
No One,Alicia Keys
Love in This Club,Usher featuring Young Jeezy
Wide Awake,Katy Perry
Alejandro,Lady Gaga
With You,Chris Brown
Don't You Worry Child,Swedish House Mafia featuring John Martin
Heartless,Kanye West
Bang Bang Bang,Big Bang
Home,Phillip Phillips
Make You Feel My Love,Adele
What Goes Around... Comes Around,Justin Timberlake
Party Like a Rockstar,Shop Boyz
Crank That (Soulja Boy),Soulja Boy Tell 'Em
Till the World Ends,Britney Spears
Part of Me,Katy Perry
4 Minutes,Madonna featuring Justin Timberlake and Timbaland
If You,Big Bang
Story,Ai
Maru Maru Mori Mori!,"Ashida Mana & Suzuki Fuku as Kaoru to Tomoki, Tamani Mook"
Levels,Avicii
Stronger (What Doesn't Kill You),Kelly Clarkson
Haruka,Greeeen
Boulevard of Broken Dreams,Green Day
I Like It,Enrique Iglesias featuring Pitbull
Take Me to Your Heart,Michael Learns to Rock
La Tortura,Shakira featuring Alejandro Sanz
Loca,Shakira featuring Dizzee Rascal
One More Night,Maroon 5
OMG,Usher featuring will.i.am
Just Can't Get Enough,The Black Eyed Peas
Dead and Gone,T.I. featuring Justin Timberlake
Whistle,Flo Rida
"Hey, Soul Sister",Train
Mirrors,Justin Timberlake
Last Friday Night (T.G.I.F),Katy Perry
Wild Ones,Flo Rida featuring Sia
The Lazy Song,Bruno Mars
Junrenka,Shonan no Kaze
Circus,Britney Spears
Can't Stop the Feeling!,Justin Timberlake
Baby,Justin Bieber featuring Ludacris
Smack That,Akon featuring Eminem
