,Song,Artist,artist_trunc,search_term,lyrics_raw
0,Careless Whisper,Wham! featuring George Michael,Wham! featuring,Careless Whisper Wham! featuring,error
1,Like a Virgin,Madonna,Madonna,Like a Virgin Madonna,error
2,Wake Me Up Before You Go-Go,Wham!,Wham!,Wake Me Up Before You Go-Go Wham!,error
3,I Want to Know What Love Is,Foreigner,Foreigner,I Want to Know What Love Is Foreigner,error
4,I Feel for You,Chaka Khan,Chaka Khan,I Feel for You Chaka Khan,error
5,Out of Touch,Hall & Oates,Hall &,Out of Touch Hall &,error
6,Everybody Wants to Rule the World,Tears for Fears,Tears for,Everybody Wants to Rule the World Tears for,error
7,Money for Nothing,Dire Straits,Dire Straits,Money for Nothing Dire Straits,error
8,Crazy for You,Madonna,Madonna,Crazy for You Madonna,error
9,Take on Me,a-ha,a-ha,Take on Me a-ha,error
10,Everytime You Go Away,Paul Young,Paul Young,Everytime You Go Away Paul Young,error
11,Easy Lover,Philip Bailey and Phil Collins,Philip Bailey,Easy Lover Philip Bailey,error
12,Can't Fight This Feeling,REO Speedwagon,REO Speedwagon,Can't Fight This Feeling REO Speedwagon,error
13,We Built This City,Starship,Starship,We Built This City Starship,error
14,The Power of Love,Huey Lewis and the News,Huey Lewis,The Power of Love Huey Lewis,error
15,Don't You (Forget About Me),Simple Minds,Simple Minds,Don't You (Forget About Me) Simple Minds,error
16,Cherish,Kool & the Gang,Kool &,Cherish Kool &,error
17,St. Elmo's Fire (Man in Motion),John Parr,John Parr,St. Elmo's Fire (Man in Motion) John Parr,error
18,The Heat Is On,Glenn Frey,Glenn Frey,The Heat Is On Glenn Frey,error
19,We Are the World,USA for Africa,USA for,We Are the World USA for,error
20,Shout,Tears for Fears,Tears for,Shout Tears for,error
21,Part-Time Lover,Stevie Wonder,Stevie Wonder,Part-Time Lover Stevie Wonder,error
22,Saving All My Love For You,Whitney Houston,Whitney Houston,Saving All My Love For You Whitney Houston,error
23,Heaven,Bryan Adams,Bryan Adams,Heaven Bryan Adams,error
24,Everything She Wants,Wham!,Wham!,Everything She Wants Wham!,error
25,Cool It Now,New Edition,New Edition,Cool It Now New Edition,error
26,Miami Vice Theme,Jan Hammer,Jan Hammer,Miami Vice Theme Jan Hammer,error
27,Loverboy,Billy Ocean,Billy Ocean,Loverboy Billy Ocean,error
28,Lovergirl,Teena Marie,Teena Marie,Lovergirl Teena Marie,error
29,You Belong to the City,Glenn Frey,Glenn Frey,You Belong to the City Glenn Frey,error
30,Oh Sheila,Ready for the World,Ready for,Oh Sheila Ready for,error
31,Rhythm of the Night,DeBarge,DeBarge,Rhythm of the Night DeBarge,error
32,One More Night,Phil Collins,Phil Collins,One More Night Phil Collins,error
33,Sea of Love,The Honeydrippers,The Honeydrippers,Sea of Love The Honeydrippers,error
34,A View to a Kill,Duran Duran,Duran Duran,A View to a Kill Duran Duran,error
35,The Wild Boys,Duran Duran,Duran Duran,The Wild Boys Duran Duran,error
36,You're the Inspiration,Chicago,Chicago,You're the Inspiration Chicago,error
37,Neutron Dance,The Pointer Sisters,The Pointer,Neutron Dance The Pointer,error
38,We Belong,Pat Benatar,Pat Benatar,We Belong Pat Benatar,error
39,Nightshift,Commodores,Commodores,Nightshift Commodores,error
