Song,Artist,Album
Shape of You,Ed Sheeran,Divide
One Dance,Drake featuring Wizkid and Kyla,Views
Closer,The Chainsmokers featuring Halsey,Collage EP
Lean On,Major Lazer and DJ Snake featuring M,Peace Is the Mission
Thinking Out Loud,Ed Sheeran,x
Sorry,Justin Bieber,Purpose
Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,Non-album single
Love Yourself,Justin Bieber,Purpose
Don't Let Me Down,The Chainsmokers featuring Daya,Collage EP
I Took a Pill in Ibiza (Seeb Remix),Mike Posner,At Night
Starboy,The Weeknd featuring Daft Punk,Starboy
Let Me Love You,DJ Snake featuring Justin Bieber,Encore
rockstar,Post Malone featuring 21 Savage,Non-album single
What Do You Mean?,Justin Bieber,Purpose
Cold Water,Major Lazer featuring Justin Bieber and M,Non-album single
Photograph,Ed Sheeran,x
Cheap Thrills,Sia,This is Acting
Stressed Out,Twenty One Pilots,Blurryface
Uptown Funk,Mark Ronson featuring Bruno Mars,Uptown Special
Cheerleader (Felix Jaehn Remix),OMI,Me 4 U
7 Years,Lukas Graham,Lukas Graham
Despacito,Luis Fonsi featuring Daddy Yankee,Non-album single
Say You Won't Let Go,James Arthur,Back from the Edge
Faded,Alan Walker,Non-album single
Stitches,Shawn Mendes,Handwritten
This Is What You Came For,Calvin Harris featuring Rihanna,Non-album single
Something Just Like This,The Chainsmokers and Coldplay,Memories...Do Not Open
Hello,Adele,25
Can't Feel My Face,The Weeknd,Beauty Behind the Madness
Work from Home,Fifth Harmony featuring Ty Dolla $ign,7/27
Havana,Camila Cabello featuring Young Thug,Camila
Take Me to Church,Hozier,Hozier
HUMBLE.,Kendrick Lamar,DAMN.
Can't Stop the Feeling!,Justin Timberlake,TROLLS: Original Motion Picture Soundtrack
Work,Rihanna featuring Drake,ANTI
Treat You Better,Shawn Mendes,Illuminate
Unforgettable,French Montana featuring Swae Lee,Jungle Rules
Stay with Me,Sam Smith,In the Lonely Hour
New Rules,Dua Lipa,Dua Lipa
See You Again,Wiz Khalifa featuring Charlie Puth,Furious 7: Original Motion Picture Soundtrack
Light It Up (Remix),Major Lazer featuring Nyla and Fuse ODG,Peace Is the Mission (Extended)
Heathens,Twenty One Pilots,Suicide Squad: The Album
XO TOUR Llif3,Lil Uzi Vert,Luv Is Rage 2
Let Her Go,Passenger,All the Little Lights
All of Me,John Legend,Love in the Future
Rockabye,Clean Bandit featuring Sean Paul and Anne-Marie,Non-album single
Hotline Bling,Drake,Views
I'm the One,"DJ Khaled featuring Justin Bieber,  Quavo, Chance the Rapper and Lil Wayne",Grateful
Perfect,Ed Sheeran,Divide
Panda,Desiigner,New English
Where Are  Now,Jack  with Justin Bieber,Skrillex and Diplo Present Jack 
Radioactive,Imagine Dragons,Night Visions
"Me, Myself & I",G-Eazy and Bebe Rexha,When It's Dark Out
Chandelier,Sia,1000 Forms of Fear
The Hills,The Weeknd,Beauty Behind the Madness
It Ain't Me,Kygo and Selena Gomez,Stargazing
Congratulations,Post Malone featuring Quavo,Stoney
Sugar,Maroon 5,V
I Don't Wanna Live Forever,ZAYN and Taylor Swift,Fifty Shades Darker: Original Motion Picture Soundtrack
That's What I Like,Bruno Mars,24K Magic
We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,Nine Track Mind
Lush Life,Zara Larsson,So Good
Cake by the Ocean,DNCE,DNCE
Love Me Like You Do,Ellie Goulding,Fifty Shades of Grey: Original Motion Picture Soundtrack
Thunder,Imagine Dragons,Evolve
Ride,Twenty One Pilots,Blurryface
In the Name of Love,Martin Garrix and Bebe Rexha,Non-album single
Counting Stars,OneRepublic,Native
Attention,Charlie Puth,Non-album single
Too Good,Drake featuring Rihanna,Views
"i hate u, i love u",gnash featuring Olivia O'Brien,us
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,The Heist
Side to Side,Ariana Grande featuring Nicki Minaj,Dangerous Woman
Mi Gente,J Balvin and Willy William,Non-album single
Demons,Imagine Dragons,Night Visions
Fast Car,Jonas Blue featuring Dakota,Non-album single
Rather Be,Clean Bandit featuring Jess Glynne,New Eyes
PILLOWTALK,ZAYN,Mind of Mine
Roses,The Chainsmokers featuring Rozes,Bouquet
I Feel It Coming,The Weeknd featuring Daft Punk,Starboy
Believer,Imagine Dragons,Evolve
Sugar,Robin Schulz featuring Francesco Yates,Sugar
Starving,Hailee Steinfield and Grey featuring Zedd,Haiz
Me Rehuso,Danny Ocean,Non-album single
Stay,Zedd and Alessia Cara,Non-album single
Trap Queen,Fetty Wap,Fetty Wap
Mask Off,Future,Future
Paris,The Chainsmokers,Memories...Do Not Open
Riptide,Vance Joy,Dream Your Life Away
Wake Me Up,Avicii,True
24K Magic,Bruno Mars,24K Magic
Needed Me,Rihanna,ANTI
Firestone,Kygo featuring Conrad Sewell,Cloud Nine
Swalla,Jason Derulo featuring Nicki Minaj and Ty Dolla $ign,Non-album single
1-800-273-8255,Logic, Alessia Cara
Middle,DJ Snake featuring Bipolar Sunshine,Encore
Happy,Pharrell Williams,GIRL
Earned It,The Weeknd,Beauty Behind the Madness
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate
Want to Want Me,Jason Derulo,Everything Is 4
